Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Wentworth (Lock 10),10.00pm Thu,31.80,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 9 (DEW),10.00pm Thu,28.30,rising,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 9 (DEW),10.00pm Thu,28.30,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 8 (DEW),10.05pm Thu,26.38,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 8 (DEW),10.05pm Thu,26.36,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Lake Victoria (DEW),10.05pm Thu,26.19,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 7 (DEW),10.00pm Thu,24.67,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 6 (DEW),10.00pm Thu,19.67,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 6 (DEW),10.00pm Thu,19.59,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Chowilla DS Monoman Ck (DEW),10.00pm Thu,19.17,steady,,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 5 (DEW),10.00pm Thu,16.25,falling,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 5 (DEW),10.00pm Thu,16.21,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Lyrup Pump Stn (DEW),10.00pm Thu,14.85,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Berri Pump Stn (DEW),10.00pm Thu,14.39,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 4 (DEW),10.00pm Thu,14.02,rising,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 4 (DEW),10.00pm Thu,13.96,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Loxton Pump Stn (DEW),9.00pm Thu,12.69,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 3 (DEW),10.00pm Thu,9.82,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 3 (DEW),10.00pm Thu,9.68,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Overland Corner (DEW),10.00pm Thu,9.08,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 2 (DEW),10.05pm Thu,6.93,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 2 (DEW),10.05pm Thu,6.92,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray US Lock 1 (DEW),9.55pm Thu,3.29,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray DS Lock 1 (DEW),10.00pm Thu,3.31,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Swan Reach 3km DS Ferry,10.05pm Thu,2.10,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Marne River at Marne Gorge (DEW),8.55pm Thu,1.12,steady,0.12 above weir,,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Walker Flat (DEW),10.05pm Thu,1.38,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Mannum Wharf (DEW),10.05pm Thu,0.96,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray at Murray Bridge/Long Is.,10.05pm Thu,0.81,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
R Murray 2km DS Wellington ferry,10.05pm Thu,0.71,rising,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
L Alexandrina at Milang Jetty (DEW),10.00pm Thu,0.68,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Lake Albert at Meningie Jetty (DEW),10.00pm Thu,0.81,rising,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Goolwa Channel 2km West of Clayton,10.05pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,10.05pm Thu,0.62,steady,3.38 below approaches,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
US Goolwa Barrage (DEW),10.00pm Thu,0.63,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
DS Goolwa Barrage (DEW),10.00pm Thu,0.24,rising,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
Tauwitchere Barrage (DEW),10.00pm Thu,0.68,steady,,below minor,Plot | Table,2022-10-13 23:30:02.473703+11:00,SA
