Date,Mean,Qual,Cutoff,Site
2022-01-01 00:00:00,0.223,2,2022-01-01,407205
2022-01-01 01:00:00,0.223,2,2022-01-01,407205
2022-01-01 02:00:00,0.223,2,2022-01-01,407205
2022-01-01 03:00:00,0.223,2,2022-01-01,407205
2022-01-01 04:00:00,0.223,2,2022-01-01,407205
2022-01-01 05:00:00,0.223,2,2022-01-01,407205
2022-01-01 06:00:00,0.223,2,2022-01-01,407205
2022-01-01 07:00:00,0.223,2,2022-01-01,407205
2022-01-01 08:00:00,0.223,2,2022-01-01,407205
2022-01-01 09:00:00,0.223,2,2022-01-01,407205
2022-01-01 10:00:00,0.223,2,2022-01-01,407205
2022-01-01 11:00:00,0.223,2,2022-01-01,407205
2022-01-01 12:00:00,0.223,2,2022-01-01,407205
2022-01-01 13:00:00,0.223,2,2022-01-01,407205
2022-01-01 14:00:00,0.223,2,2022-01-01,407205
2022-01-01 15:00:00,0.223,2,2022-01-01,407205
2022-01-01 16:00:00,0.223,2,2022-01-01,407205
2022-01-01 17:00:00,0.223,2,2022-01-01,407205
2022-01-01 18:00:00,0.223,2,2022-01-01,407205
2022-01-01 19:00:00,0.223,2,2022-01-01,407205
2022-01-01 20:00:00,0.223,2,2022-01-01,407205
2022-01-01 21:00:00,0.223,2,2022-01-01,407205
2022-01-01 22:00:00,0.223,2,2022-01-01,407205
2022-01-01 23:00:00,0.223,2,2022-01-01,407205
2022-02-01 00:00:00,0.223,2,2022-02-01,407205
2022-02-01 01:00:00,0.222,2,2022-02-01,407205
2022-02-01 02:00:00,0.222,2,2022-02-01,407205
2022-02-01 03:00:00,0.222,2,2022-02-01,407205
2022-02-01 04:00:00,0.222,2,2022-02-01,407205
2022-02-01 05:00:00,0.222,2,2022-02-01,407205
2022-02-01 06:00:00,0.222,2,2022-02-01,407205
2022-02-01 07:00:00,0.222,2,2022-02-01,407205
2022-02-01 08:00:00,0.222,2,2022-02-01,407205
2022-02-01 09:00:00,0.222,2,2022-02-01,407205
2022-02-01 10:00:00,0.222,2,2022-02-01,407205
2022-02-01 11:00:00,0.222,2,2022-02-01,407205
2022-02-01 12:00:00,0.222,2,2022-02-01,407205
2022-02-01 13:00:00,0.222,2,2022-02-01,407205
2022-02-01 14:00:00,0.222,2,2022-02-01,407205
2022-02-01 15:00:00,0.222,2,2022-02-01,407205
2022-02-01 16:00:00,0.222,2,2022-02-01,407205
2022-02-01 17:00:00,0.222,2,2022-02-01,407205
2022-02-01 18:00:00,0.222,2,2022-02-01,407205
2022-02-01 19:00:00,0.222,2,2022-02-01,407205
2022-02-01 20:00:00,0.222,2,2022-02-01,407205
2022-02-01 21:00:00,0.222,2,2022-02-01,407205
2022-02-01 22:00:00,0.222,2,2022-02-01,407205
2022-02-01 23:00:00,0.222,2,2022-02-01,407205
2022-03-01 00:00:00,0.222,2,2022-03-01,407205
2022-03-01 01:00:00,0.222,2,2022-03-01,407205
2022-03-01 02:00:00,0.222,2,2022-03-01,407205
2022-03-01 03:00:00,0.222,2,2022-03-01,407205
2022-03-01 04:00:00,0.222,2,2022-03-01,407205
2022-03-01 05:00:00,0.222,2,2022-03-01,407205
2022-03-01 06:00:00,0.222,2,2022-03-01,407205
2022-03-01 07:00:00,0.222,2,2022-03-01,407205
2022-03-01 08:00:00,0.222,2,2022-03-01,407205
2022-03-01 09:00:00,0.222,2,2022-03-01,407205
2022-03-01 10:00:00,0.222,2,2022-03-01,407205
2022-03-01 11:00:00,0.222,2,2022-03-01,407205
2022-03-01 12:00:00,0.222,2,2022-03-01,407205
2022-03-01 13:00:00,0.222,2,2022-03-01,407205
2022-03-01 14:00:00,0.222,2,2022-03-01,407205
2022-03-01 15:00:00,0.222,2,2022-03-01,407205
2022-03-01 16:00:00,0.222,2,2022-03-01,407205
2022-03-01 17:00:00,0.222,2,2022-03-01,407205
2022-03-01 18:00:00,0.222,2,2022-03-01,407205
2022-03-01 19:00:00,0.222,2,2022-03-01,407205
2022-03-01 20:00:00,0.222,2,2022-03-01,407205
2022-03-01 21:00:00,0.222,2,2022-03-01,407205
2022-03-01 22:00:00,0.222,2,2022-03-01,407205
2022-03-01 23:00:00,0.222,2,2022-03-01,407205
2022-04-01 00:00:00,0.222,2,2022-04-01,407205
2022-04-01 01:00:00,0.222,2,2022-04-01,407205
2022-04-01 02:00:00,0.222,2,2022-04-01,407205
2022-04-01 03:00:00,0.222,2,2022-04-01,407205
2022-04-01 04:00:00,0.222,2,2022-04-01,407205
2022-04-01 05:00:00,0.222,2,2022-04-01,407205
2022-04-01 06:00:00,0.222,2,2022-04-01,407205
2022-04-01 07:00:00,0.222,2,2022-04-01,407205
2022-04-01 08:00:00,0.222,2,2022-04-01,407205
2022-04-01 09:00:00,0.222,2,2022-04-01,407205
2022-04-01 10:00:00,0.222,2,2022-04-01,407205
2022-04-01 11:00:00,0.222,2,2022-04-01,407205
2022-04-01 12:00:00,0.222,2,2022-04-01,407205
2022-04-01 13:00:00,0.222,2,2022-04-01,407205
2022-04-01 14:00:00,0.222,2,2022-04-01,407205
2022-04-01 15:00:00,0.222,2,2022-04-01,407205
2022-04-01 16:00:00,0.222,2,2022-04-01,407205
2022-04-01 17:00:00,0.222,2,2022-04-01,407205
2022-04-01 18:00:00,0.222,2,2022-04-01,407205
2022-04-01 19:00:00,0.222,2,2022-04-01,407205
2022-04-01 20:00:00,0.222,2,2022-04-01,407205
2022-04-01 21:00:00,0.222,2,2022-04-01,407205
2022-04-01 22:00:00,0.222,2,2022-04-01,407205
2022-04-01 23:00:00,0.222,2,2022-04-01,407205
2022-05-01 00:00:00,0.222,2,2022-05-01,407205
2022-05-01 01:00:00,0.222,2,2022-05-01,407205
2022-05-01 02:00:00,0.222,2,2022-05-01,407205
2022-05-01 03:00:00,0.222,2,2022-05-01,407205
2022-05-01 04:00:00,0.222,2,2022-05-01,407205
2022-05-01 05:00:00,0.222,2,2022-05-01,407205
2022-05-01 06:00:00,0.222,2,2022-05-01,407205
2022-05-01 07:00:00,0.222,2,2022-05-01,407205
2022-05-01 08:00:00,0.222,2,2022-05-01,407205
2022-05-01 09:00:00,0.222,2,2022-05-01,407205
2022-05-01 10:00:00,0.222,2,2022-05-01,407205
2022-05-01 11:00:00,0.222,2,2022-05-01,407205
2022-05-01 12:00:00,0.222,2,2022-05-01,407205
2022-05-01 13:00:00,0.222,2,2022-05-01,407205
2022-05-01 14:00:00,0.222,2,2022-05-01,407205
2022-05-01 15:00:00,0.222,2,2022-05-01,407205
2022-05-01 16:00:00,0.222,2,2022-05-01,407205
2022-05-01 17:00:00,0.223,2,2022-05-01,407205
2022-05-01 18:00:00,0.223,2,2022-05-01,407205
2022-05-01 19:00:00,0.223,2,2022-05-01,407205
2022-05-01 20:00:00,0.223,2,2022-05-01,407205
2022-05-01 21:00:00,0.222,2,2022-05-01,407205
2022-05-01 22:00:00,0.222,2,2022-05-01,407205
2022-05-01 23:00:00,0.222,2,2022-05-01,407205
2022-06-01 00:00:00,0.222,2,2022-06-01,407205
2022-06-01 01:00:00,0.222,2,2022-06-01,407205
2022-06-01 02:00:00,0.222,2,2022-06-01,407205
2022-06-01 03:00:00,0.222,2,2022-06-01,407205
2022-06-01 04:00:00,0.222,2,2022-06-01,407205
2022-06-01 05:00:00,0.222,2,2022-06-01,407205
2022-06-01 06:00:00,0.222,2,2022-06-01,407205
2022-06-01 07:00:00,0.222,2,2022-06-01,407205
2022-06-01 08:00:00,0.222,2,2022-06-01,407205
2022-06-01 09:00:00,0.222,2,2022-06-01,407205
2022-06-01 10:00:00,0.222,2,2022-06-01,407205
2022-06-01 11:00:00,0.221,2,2022-06-01,407205
2022-06-01 12:00:00,0.221,2,2022-06-01,407205
2022-06-01 13:00:00,0.222,2,2022-06-01,407205
2022-06-01 14:00:00,0.222,2,2022-06-01,407205
2022-06-01 15:00:00,0.222,2,2022-06-01,407205
2022-06-01 16:00:00,0.223,2,2022-06-01,407205
2022-06-01 17:00:00,0.223,2,2022-06-01,407205
2022-06-01 18:00:00,0.222,2,2022-06-01,407205
2022-06-01 19:00:00,0.222,2,2022-06-01,407205
2022-06-01 20:00:00,0.222,2,2022-06-01,407205
2022-06-01 21:00:00,0.222,2,2022-06-01,407205
2022-06-01 22:00:00,0.222,2,2022-06-01,407205
2022-06-01 23:00:00,0.222,2,2022-06-01,407205
2022-07-01 00:00:00,0.222,2,2022-07-01,407205
2022-07-01 01:00:00,0.222,2,2022-07-01,407205
2022-07-01 02:00:00,0.222,2,2022-07-01,407205
2022-07-01 03:00:00,0.222,2,2022-07-01,407205
2022-07-01 04:00:00,0.222,2,2022-07-01,407205
2022-07-01 05:00:00,0.222,2,2022-07-01,407205
2022-07-01 06:00:00,0.222,2,2022-07-01,407205
2022-07-01 07:00:00,0.222,2,2022-07-01,407205
2022-07-01 08:00:00,0.222,2,2022-07-01,407205
2022-07-01 09:00:00,0.222,2,2022-07-01,407205
2022-07-01 10:00:00,0.221,2,2022-07-01,407205
2022-07-01 11:00:00,0.221,2,2022-07-01,407205
2022-07-01 12:00:00,0.221,2,2022-07-01,407205
2022-07-01 13:00:00,0.221,2,2022-07-01,407205
2022-07-01 14:00:00,0.221,2,2022-07-01,407205
2022-07-01 15:00:00,0.221,2,2022-07-01,407205
2022-07-01 16:00:00,0.221,2,2022-07-01,407205
2022-07-01 17:00:00,0.221,2,2022-07-01,407205
2022-07-01 18:00:00,0.221,2,2022-07-01,407205
2022-07-01 19:00:00,0.221,2,2022-07-01,407205
2022-07-01 20:00:00,0.221,2,2022-07-01,407205
2022-07-01 21:00:00,0.221,2,2022-07-01,407205
2022-07-01 22:00:00,0.221,2,2022-07-01,407205
2022-07-01 23:00:00,0.221,2,2022-07-01,407205
2022-08-01 00:00:00,0.221,2,2022-08-01,407205
2022-08-01 01:00:00,0.221,2,2022-08-01,407205
2022-08-01 02:00:00,0.221,2,2022-08-01,407205
2022-08-01 03:00:00,0.221,2,2022-08-01,407205
2022-08-01 04:00:00,0.221,2,2022-08-01,407205
2022-08-01 05:00:00,0.221,2,2022-08-01,407205
2022-08-01 06:00:00,0.221,2,2022-08-01,407205
2022-08-01 07:00:00,0.221,2,2022-08-01,407205
2022-08-01 08:00:00,0.221,2,2022-08-01,407205
2022-08-01 09:00:00,0.221,2,2022-08-01,407205
2022-08-01 10:00:00,0.221,2,2022-08-01,407205
2022-08-01 11:00:00,0.221,2,2022-08-01,407205
2022-08-01 12:00:00,0.221,2,2022-08-01,407205
2022-08-01 13:00:00,0.221,2,2022-08-01,407205
2022-08-01 14:00:00,0.221,2,2022-08-01,407205
2022-08-01 15:00:00,0.221,2,2022-08-01,407205
2022-08-01 16:00:00,0.221,2,2022-08-01,407205
2022-08-01 17:00:00,0.221,2,2022-08-01,407205
2022-08-01 18:00:00,0.221,2,2022-08-01,407205
2022-08-01 19:00:00,0.221,2,2022-08-01,407205
2022-08-01 20:00:00,0.221,2,2022-08-01,407205
2022-08-01 21:00:00,0.221,2,2022-08-01,407205
2022-08-01 22:00:00,0.221,2,2022-08-01,407205
2022-08-01 23:00:00,0.221,2,2022-08-01,407205
2022-09-01 00:00:00,0.221,2,2022-09-01,407205
2022-09-01 01:00:00,0.221,2,2022-09-01,407205
2022-09-01 02:00:00,0.221,2,2022-09-01,407205
2022-09-01 03:00:00,0.221,2,2022-09-01,407205
2022-09-01 04:00:00,0.221,2,2022-09-01,407205
2022-09-01 05:00:00,0.221,2,2022-09-01,407205
2022-09-01 06:00:00,0.221,2,2022-09-01,407205
2022-09-01 07:00:00,0.221,2,2022-09-01,407205
2022-09-01 08:00:00,0.221,2,2022-09-01,407205
2022-09-01 09:00:00,0.221,2,2022-09-01,407205
2022-09-01 10:00:00,0.221,2,2022-09-01,407205
2022-09-01 11:00:00,0.221,2,2022-09-01,407205
2022-09-01 12:00:00,0.221,2,2022-09-01,407205
2022-09-01 13:00:00,0.221,2,2022-09-01,407205
2022-09-01 14:00:00,0.221,2,2022-09-01,407205
2022-09-01 15:00:00,0.221,2,2022-09-01,407205
2022-09-01 16:00:00,0.221,2,2022-09-01,407205
2022-09-01 17:00:00,0.221,2,2022-09-01,407205
2022-09-01 18:00:00,0.221,2,2022-09-01,407205
2022-09-01 19:00:00,0.221,2,2022-09-01,407205
2022-09-01 20:00:00,0.221,2,2022-09-01,407205
2022-09-01 21:00:00,0.221,2,2022-09-01,407205
2022-09-01 22:00:00,0.221,2,2022-09-01,407205
2022-09-01 23:00:00,0.221,2,2022-09-01,407205
