Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Minilya,Minilya,Minilya,Minilya,Minilya,Minilya,2022-10-14 17:10:02.611578+11:00,WA
Minilya River at Minilya Bridge,12.55pm Fri,-0.07,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne River at Yinnetharra Xing,1.00pm Fri,0.59,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne River at Pells Island,1.00pm Fri,0.26,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Lyons River at Lyons River Xing,1.00pm Fri,-0.01,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne River at Jimba,1.00pm Fri,0.34,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne River at Fishy Pool,1.00pm Fri,-0.05,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Gascoyne River at Nine Mile Br,1.00pm Fri,-1.00,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
Murchison,Murchison,Murchison,Murchison,Murchison,Murchison,2022-10-14 17:10:02.611578+11:00,WA
Murchison River at Emu Springs,1.00pm Fri,0.07,steady,below minor,Plot | Table,2022-10-14 17:10:02.611578+11:00,WA
