Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,2022-10-14 05:50:01.763983+11:00,QLD
Wild R at Silver Valley *,4.00am Fri,1.06,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Millstream at Ravenshoe *,4.00am Fri,0.88,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Millstream at Archers Creek *,4.00am Fri,1.34,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Blunder Ck at Wooroora *,4.00am Fri,0.94,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Return Ck at Crooks Dam HW *,3.00am Fri,691.05,steady,0.25 below Spillway,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Rudd Ck at Gunnawarra *,3.00am Fri,2.37,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Rudd Ck at Gunnawarra #,2.44am Fri,2.37,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Cameron Creek *,4.00am Fri,0.80,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Herbert R at Gleneagle #,3.13am Fri,1.05,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Herbert R at Gleneagle *,4.00am Fri,1.06,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Blencoe Ck at Blencoe Falls *,4.00am Fri,1.37,steady,,,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Herbert R at Nashs Crossing #,2.48am Fri,0.10,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Herbert R at Zattas #,1.54am Fri,-0.32,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
Gowrie Ck at Gowrie Ck *,4.00am Fri,0.85,steady,,below minor,Plot | Table,2022-10-14 05:50:01.763983+11:00,QLD
