Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Hutt,Hutt,Hutt,Hutt,Hutt,Hutt,2022-10-13 19:30:01.573854+11:00,WA
Hutt River at Yerina,4.00pm Thu,0.22,steady,,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Chapman,Chapman,Chapman,Chapman,Chapman,Chapman,2022-10-13 19:30:01.573854+11:00,WA
Chapman River at Utakarra,4.00pm Thu,0.31,steady,,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Greenough,Greenough,Greenough,Greenough,Greenough,Greenough,2022-10-13 19:30:01.573854+11:00,WA
Greenough River at Pindarring Rocks,4.00pm Thu,-0.06,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Greenough River at Mitthutharra,4.00pm Thu,-0.44,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Greenough River at Karlanew Peak,4.00pm Thu,0.18,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Irwin,Irwin,Irwin,Irwin,Irwin,Irwin,2022-10-13 19:30:01.573854+11:00,WA
Irwin River at Yatharagga,4.00pm Thu,-0.13,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Irwin River at Strawberry Bridge,4.00pm Thu,0.38,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Irwin River at Mountain Bridge,4.00pm Thu,0.40,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Hill-Moore,Hill-Moore,Hill-Moore,Hill-Moore,Hill-Moore,Hill-Moore,2022-10-13 19:30:01.573854+11:00,WA
Hill River at Hill River Springs,4.00pm Thu,0.09,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Hill River at Ardross,4.00pm Thu,0.21,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Moore River Nth at Long Pool Br,4.00pm Thu,0.16,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Moore River Nth at Moora Caravan Pk,4.00pm Thu,0.38,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Moore River at Quinns Ford,3.10pm Thu,0.70,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Moore River at Waterville Road,4.00pm Thu,0.37,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Gingin Brook at Gingin,4.00pm Thu,0.28,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
Gingin Brook at Bookine Bookine,4.00pm Thu,0.26,steady,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,WA
