Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Minilya,Minilya,Minilya,Minilya,Minilya,Minilya,2022-10-14 04:30:01.921834+11:00,WA
Minilya River at Minilya Bridge,12.55am Fri,-0.07,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne River at Yinnetharra Xing,1.00am Fri,0.66,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne River at Pells Island,1.00am Fri,0.28,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Lyons River at Lyons River Xing,1.00am Fri,-0.01,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne River at Jimba,1.00am Fri,0.37,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne River at Fishy Pool,1.00am Fri,-0.07,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Gascoyne River at Nine Mile Br,1.00am Fri,-1.00,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
Murchison,Murchison,Murchison,Murchison,Murchison,Murchison,2022-10-14 04:30:01.921834+11:00,WA
Murchison River at Emu Springs,1.00am Fri,0.07,steady,below minor,Plot | Table,2022-10-14 04:30:01.921834+11:00,WA
