Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Angas,Angas,Angas,Angas,Angas,Angas,Angas,2022-10-14 16:00:02.587800+11:00,SA
Angas R at Angas Weir (DEW),2.05pm Fri,10.37,steady,0.37 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Angas R DS Willyaroo (DEW),2.00pm Fri,1.31,steady,0.31 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Angas R DS Ballandown Rd (DEW),2.05pm Fri,1.16,steady,1.16 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer,Bremer,Bremer,Bremer,Bremer,Bremer,Bremer,2022-10-14 16:00:02.587800+11:00,SA
Bremer R at Tennis Court (DEW),2.05pm Fri,10.44,steady,0.44 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R DS Harrogate Rd (DEW),2.05pm Fri,1.29,steady,0.29 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Mt Barker Ck DS Mt Barker (DEW),2.05pm Fri,1.54,steady,0.54 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Dawesley Ck at Dawesley (DEW),2.00pm Fri,1.34,steady,0.34 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R US Mt Barker Ck (DEW),2.05pm Fri,1.28,steady,0.19 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Mt Barker Ck US Bremer R (DEW),2.05pm Fri,1.52,steady,0.50 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R near Hartley (DEW),2.05pm Fri,1.28,steady,0.28 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R at Wanstead Rd (DEW),2.00pm Fri,1.40,steady,0.40 above weir,below minor,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R US Langhorne Ck (DEW),2.05pm Fri,1.51,steady,5.12 below weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
Bremer R US Ballandown Rd (DEW),2.05pm Fri,1.62,steady,0.86 above weir,,Plot | Table,2022-10-14 16:00:02.587800+11:00,SA
